package,c
org.apache.hadoop.hbase.util,294
org.jdom,292
org.apache.cassandra.utils,291
javax.xml.stream,291
javax.tools,291
org.ovirt.engine.core.common.businessentities,291
com.google.gwt.user.client,291
javax.xml.ws,290
ims.domain.impl,290
android.animation,289
org.apache.commons.lang.builder,286
com.vividsolutions.jts.geom,286
com.mongodb,285
com.google.common.primitives,283
org.apache.ignite.internal.util.typedef.internal,282
dagger,281
org.springframework.ui,281
org.eclipse.jface.action,280
javax.crypto.spec,278
javax.ejb,277
com.intellij.openapi.roots,277
org.springframework.beans.factory,275
org.robolectric.annotation,274
ims.framework.delegates,273
hudson,273
org.elasticsearch.common.inject,272
com.intellij.openapi.components,272
net.minecraft.block.state,271
org.bukkit.event,271
apple.coreservices,270
com.google.j2objc.runtime,270
apple.audiotoolbox,270
apple.corefoundation,270
com.google.j2objc.runtime.block,270
apple.coregraphics,270
com.google.protobuf,270
org.apache.wicket,269
org.apache.camel.impl,268
org.chromium.base,268
org.jboss.arquillian.junit,268
net.minecraft.client.renderer.texture,268
net.minecraft.block.material,268
org.apache.hadoop.classification,266
org.springframework.context.support,266
org.jboss.arquillian.container.test.api,265
org.ovirt.engine.core.compat,263
org.springframework.boot.autoconfigure,262
org.springframework.core.io,260
com.intellij.openapi.util.io,260
org.apache.lucene.search,257
org.springframework.web.servlet,257
org.jboss.shrinkwrap.api,256
com.intellij.psi.search,256
com.intellij.openapi.progress,255
util,254
lucee.runtime.exp,253
javax.xml.bind.annotation.adapters,253
org.apache.commons.codec.binary,252
org.apache.struts.action,251
org.apache.uima.jcas,251
com.intellij.psi.tree,250
android.test.suitebuilder.annotation,248
javax.faces.context,247
org.apache.hadoop.hbase.client,247
org.bukkit.inventory,246
com.intellij.ide.util,246
net.minecraft.server,246
com.vaadin.server,245
net.minecraftforge.common.util,243
com.codahale.metrics,242
org.elasticsearch.common.io.stream,241
com.rapidminer.operator,239
apple.foundation,238
org.apache.zookeeper,237
org.codehaus.jackson.map,237
com.fasterxml.jackson.databind.node,237
org.apache.maven.plugin,236
org.eclipse.jgit.lib,236
keel,235
org.apache.commons.cli,232
android.view.inputmethod,232
org.jboss.netty.channel,231
com.amazonaws.http,230
org.springframework.security.core,230
javafx.geometry,230
org.apache.cassandra.config,230
com.fasterxml.jackson.databind.annotation,229
org.apache.commons.collections,228
ims.core.vo.lookups,228
org.bouncycastle.asn1,228
net.minecraftforge.fml.relauncher,228
org.apache.thrift.protocol,227
org.alfresco.service.cmr.repository,226
com.facebook.presto.spi.type,226
com.intellij.openapi.vcs,226
org.xml.sax.helpers,226
net.minecraft.util.math,226
javafx.beans.property,224
javax.servlet.jsp,224
com.google.common.truth,224
org.eclipse.emf.common.notify,223
org.apache.cassandra.db,223
com.caucho.util,222
org.elasticsearch.common,219
com.intellij.openapi.extensions,219
javafx.stage,219
org.apache.lucene.analysis,219
org.jsoup.nodes,218
org.eclipse.persistence.sessions,218
org.eclipse.jface.resource,218
com.rapidminer.tools,216
org.openide.util,216
org.eclipse.jface.preference,216
org.apache.ignite.configuration,216
org.tanaguru.entity.audit,216
javax.xml.stream.events,215
com.facebook.presto.spi,213
org.elasticsearch,213
org.apache.ignite.cache,212
org.elasticsearch.client,211
org.pentaho.di.core,210
org.core,210
ims.domain,209
org.apache.commons.math3.util,209
org.apache.commons.math3.exception,208
org.gradle.api,207
org.codehaus.jackson.annotate,207
com.google.common.cache,206
org.codehaus.jackson,206
org.apache.camel.util,205
org.bukkit.command,204
lucee.runtime,204
com.gemstone.gemfire.internal.cache,203
net.minecraft.client.renderer,203
javafx.application,202
org.apache.http.message,201
org.apache.ignite.internal.util.typedef,200
com.badlogic.gdx.graphics.g2d,200
org.json.simple,199
org.eclipse.emf.ecore.impl,199
org.pentaho.di.core.exception,198
org.apache.camel.test.junit4,198
com.badlogic.gdx.scenes.scene2d,198
android.location,197
com.datastax.driver.core,197
javafx.event,196
org.apache.http.util,195
javax.xml.transform.dom,195
com.amazonaws.protocol.json,195
org.mockito.stubbing,195
org.apache.commons.math,194
javax.lang.model.type,194
org.jboss.netty.buffer,194
org.apache.ignite.lang,194
org.springframework.validation,193
org.apache.wicket.markup.html,193
org.elasticsearch.action,193
com.google.security.zynamics.zylib.disassembly,190
net.minecraft.client.gui,190
net.minecraft.creativetab,190
com.liferay.portal.service,189
com.google.gerrit.reviewdb.client,189
org.jboss.shrinkwrap.api.spec,189
org.mockito.invocation,188
com.gemstone.gemfire,187
javax.enterprise.inject,186
org.dom4j,186
org.hibernate.annotations,186
org.apache.commons.configuration,185
jmri,185
org.fenixedu.academic.domain,185
com.liferay.portal.model,185
org.bukkit.block,184
org.openhab.core.items,183
timber.log,183
com.siyeh.ig,182
com.intellij.openapi.options,182
org.powermock.core.classloader.annotations,181
org.eclipse.jetty.server,181
android.hardware,181
java.awt.datatransfer,181
com.intellij.icons,181
org.apache.pig.data,180
javax.annotation.processing,180
javax.swing.plaf.basic,180
org.springframework.beans,178
org.openrdf.model,178
javafx.collections,178
org.joda.time.format,176
org.voltdb,176
org.apache.commons.lang3.tuple,175
java.nio.file.attribute,175
org.jdom2,175
com.gemstone.gemfire.internal,175
javafx.scene.paint,175
javax.sound.sampled,174
org.hibernate.validator.constraints,174
org.hibernate.criterion,174
rx.schedulers,174
okhttp3,173
com.badlogic.gdx.scenes.scene2d.ui,173
org.apache.uima.cas,172
org.semanticweb.owlapi.model,172
org.oscarehr.util,172
org.openhab.core.types,171
groovy.lang,171
boofcv.struct.image,171
com.squareup.picasso,170
com.rapidminer.example,170
retrofit,170
com.liferay.portal.kernel.exception,169
javafx.scene.input,169
android.opengl,168
ims.configuration.gen,167
org.eclipse.swt.custom,167
org.apache.http.entity,167
org.olat.core.gui.control,167
org.jfree.chart,166
io.netty.handler.codec.http,166
com.pivotal.gemfirexd.internal.iapi.error,166
org.apache.felix.scr.annotations,166
org.openhab.core.library.types,166
org.esa.snap.core.datamodel,165
org.apache.ignite.internal,164
javax.xml.xpath,164
lucee.runtime.op,164
org.omg,164
com.l2jserver.gameserver.model.actor.instance,163
net.minecraft.world.biome,163
com.google.security.zynamics.binnavi,163
org.xmlpull.v1,163
